epoch: 0	train ppl: 3090.87893793	val ppl: 2233.30197797	best val: 2233.30197797	time (s) spent in epoch: 3.41003680229187
epoch: 1	train ppl: 1424.05557675	val ppl: 1676.3540198	best val: 1676.3540198	time (s) spent in epoch: 3.9563231468200684
epoch: 2	train ppl: 1075.19055524	val ppl: 1215.50604117	best val: 1215.50604117	time (s) spent in epoch: 3.9082722663879395
epoch: 3	train ppl: 908.34233217	val ppl: 1294.68386402	best val: 1215.50604117	time (s) spent in epoch: 3.926082134246826
epoch: 4	train ppl: 850.727074666	val ppl: 1148.73406941	best val: 1148.73406941	time (s) spent in epoch: 4.229449033737183
epoch: 5	train ppl: 783.403634325	val ppl: 1154.77855301	best val: 1148.73406941	time (s) spent in epoch: 3.9308578968048096
epoch: 6	train ppl: 754.854509033	val ppl: 1201.68643154	best val: 1148.73406941	time (s) spent in epoch: 3.691006898880005
epoch: 7	train ppl: 714.941319437	val ppl: 1127.65114176	best val: 1127.65114176	time (s) spent in epoch: 3.8618698120117188
epoch: 8	train ppl: 679.102297947	val ppl: 1175.84598698	best val: 1127.65114176	time (s) spent in epoch: 3.3766400814056396
epoch: 9	train ppl: 693.835923226	val ppl: 1135.22369555	best val: 1127.65114176	time (s) spent in epoch: 3.9493958950042725
epoch: 10	train ppl: 661.002477876	val ppl: 1135.24967905	best val: 1127.65114176	time (s) spent in epoch: 4.5662431716918945
epoch: 11	train ppl: 642.035116991	val ppl: 1162.0621837	best val: 1127.65114176	time (s) spent in epoch: 3.8618199825286865
