epoch: 0	train ppl: 3090.87893793	val ppl: 2233.30197797	best val: 2233.30197797	time (s) spent in epoch: 3.5484869480133057
epoch: 1	train ppl: 1424.05606178	val ppl: 1676.35561849	best val: 1676.35561849	time (s) spent in epoch: 3.7126059532165527
epoch: 2	train ppl: 1075.1931187	val ppl: 1215.5274865	best val: 1215.5274865	time (s) spent in epoch: 3.743354082107544
epoch: 3	train ppl: 908.37849936	val ppl: 1294.13638736	best val: 1215.5274865	time (s) spent in epoch: 4.456014156341553
epoch: 4	train ppl: 857.013814503	val ppl: 1197.93679446	best val: 1197.93679446	time (s) spent in epoch: 4.535543918609619
epoch: 5	train ppl: 789.475448101	val ppl: 1151.47173983	best val: 1151.47173983	time (s) spent in epoch: 3.4495410919189453
epoch: 6	train ppl: 756.658689003	val ppl: 1181.42962838	best val: 1151.47173983	time (s) spent in epoch: 3.5078489780426025
epoch: 7	train ppl: 719.846582251	val ppl: 1135.87779466	best val: 1135.87779466	time (s) spent in epoch: 3.1501030921936035
epoch: 8	train ppl: 699.500353519	val ppl: 1156.12289975	best val: 1135.87779466	time (s) spent in epoch: 3.324644088745117
epoch: 9	train ppl: 680.866612693	val ppl: 1134.73661491	best val: 1134.73661491	time (s) spent in epoch: 3.3285410404205322
epoch: 10	train ppl: 654.666349873	val ppl: 1137.92699753	best val: 1134.73661491	time (s) spent in epoch: 3.5844287872314453
epoch: 11	train ppl: 651.026134768	val ppl: 1144.40672741	best val: 1134.73661491	time (s) spent in epoch: 3.268537759780884
epoch: 12	train ppl: 634.084930988	val ppl: 1169.41461724	best val: 1134.73661491	time (s) spent in epoch: 3.671599864959717
epoch: 13	train ppl: 620.134765243	val ppl: 1195.53208691	best val: 1134.73661491	time (s) spent in epoch: 3.4394338130950928
epoch: 14	train ppl: 613.730225659	val ppl: 1173.36140787	best val: 1134.73661491	time (s) spent in epoch: 3.2927639484405518
epoch: 15	train ppl: 590.299870852	val ppl: 1196.66421976	best val: 1134.73661491	time (s) spent in epoch: 3.503298044204712
epoch: 16	train ppl: 545.209195379	val ppl: 1240.69964449	best val: 1134.73661491	time (s) spent in epoch: 3.3357720375061035
epoch: 17	train ppl: 528.463850097	val ppl: 1261.01385811	best val: 1134.73661491	time (s) spent in epoch: 3.6591391563415527
epoch: 18	train ppl: 513.043656123	val ppl: 1267.75069652	best val: 1134.73661491	time (s) spent in epoch: 3.38325572013855
epoch: 19	train ppl: 506.463216992	val ppl: 1278.63908764	best val: 1134.73661491	time (s) spent in epoch: 3.294811248779297
epoch: 20	train ppl: 505.075097741	val ppl: 1282.18025746	best val: 1134.73661491	time (s) spent in epoch: 3.3159029483795166
epoch: 21	train ppl: 504.282518418	val ppl: 1283.42137048	best val: 1134.73661491	time (s) spent in epoch: 3.333167791366577
epoch: 22	train ppl: 504.691621947	val ppl: 1283.94227369	best val: 1134.73661491	time (s) spent in epoch: 3.358367919921875
epoch: 23	train ppl: 502.396223412	val ppl: 1283.99492667	best val: 1134.73661491	time (s) spent in epoch: 3.3589518070220947
epoch: 24	train ppl: 502.512458255	val ppl: 1284.02247851	best val: 1134.73661491	time (s) spent in epoch: 3.2128162384033203
epoch: 25	train ppl: 502.762286424	val ppl: 1284.03043804	best val: 1134.73661491	time (s) spent in epoch: 3.356167793273926
epoch: 26	train ppl: 502.955927439	val ppl: 1284.03227486	best val: 1134.73661491	time (s) spent in epoch: 3.901798963546753
epoch: 27	train ppl: 505.590600359	val ppl: 1284.03227486	best val: 1134.73661491	time (s) spent in epoch: 6.789926290512085
epoch: 28	train ppl: 505.188837961	val ppl: 1284.03227486	best val: 1134.73661491	time (s) spent in epoch: 3.752393960952759
